benchmark,pair,region,tol_cm,scale_adjust,global_coverage_any,global_weighted_coverage_any,global_missed_pct,total_source_lines
dft_raw_line,DFT->Pred,full,10.0,0.9,0.6186915887850467,0.27790033924405527,0.3813084112149533,65805
dft_raw_line,Pred->DFT,full,10.0,0.9,0.8129767004492738,0.7650466925738535,0.18702329955072616,66997
dft_peak,DFT->Pred,full,10.0,0.9,0.2213857859802493,0.18268211420506686,0.7786142140197507,12354
dft_peak,Pred->DFT,full,10.0,0.9,0.3142661804922516,0.297626742187746,0.6857338195077485,8776
dft_raw_line,DFT->Pred,fingerprint,10.0,0.9,0.6837029685881947,0.4936816128464522,0.3162970314118053,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,0.9,0.8043905506859007,0.7610127387977917,0.1956094493140993,50882
dft_peak,DFT->Pred,fingerprint,10.0,0.9,0.2800532459553553,0.23179470617810594,0.7199467540446447,9766
dft_peak,Pred->DFT,fingerprint,10.0,0.9,0.3144811858608894,0.29835472417958103,0.6855188141391106,8770
dft_raw_line,DFT->Pred,full,10.0,0.91,0.6129169515994225,0.2912757546854827,0.3870830484005775,65805
dft_raw_line,Pred->DFT,full,10.0,0.91,0.8046306241794964,0.745662293702465,0.19536937582050362,67032
dft_peak,DFT->Pred,full,10.0,0.91,0.22243807673627974,0.18812741384559278,0.7775619232637203,12354
dft_peak,Pred->DFT,full,10.0,0.91,0.3104685048195472,0.29506042137396754,0.6895314951804528,8922
dft_raw_line,DFT->Pred,fingerprint,10.0,0.91,0.676432516396272,0.513534319806558,0.323567483603728,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,0.91,0.7935007212756833,0.7403168459976288,0.20649927872431673,51298
dft_peak,DFT->Pred,fingerprint,10.0,0.91,0.28138439483923816,0.23834430707957732,0.7186156051607618,9766
dft_peak,Pred->DFT,fingerprint,10.0,0.91,0.3107122826696579,0.29594255365957234,0.6892877173303421,8915
dft_raw_line,DFT->Pred,full,10.0,0.92,0.6191930704353773,0.3053918913698241,0.3808069295646227,65805
dft_raw_line,Pred->DFT,full,10.0,0.92,0.8012109281794321,0.7267788483261246,0.19878907182056793,67056
dft_peak,DFT->Pred,full,10.0,0.92,0.2222761858507366,0.18740343115347935,0.7777238141492634,12354
dft_peak,Pred->DFT,full,10.0,0.92,0.30663564860972636,0.28663807601286245,0.6933643513902736,9027
dft_raw_line,DFT->Pred,fingerprint,10.0,0.92,0.6859898170521229,0.5389400819920798,0.3140101829478771,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,0.92,0.7887901836691246,0.7202025867165485,0.21120981633087543,51669
dft_peak,DFT->Pred,fingerprint,10.0,0.92,0.2811796027032562,0.23908094507447855,0.7188203972967437,9766
dft_peak,Pred->DFT,fingerprint,10.0,0.92,0.30690763942787447,0.28761612829582806,0.6930923605721255,9019
dft_raw_line,DFT->Pred,full,10.0,0.93,0.6261682242990654,0.3141232339323964,0.3738317757009346,65805
dft_raw_line,Pred->DFT,full,10.0,0.93,0.8073179819658692,0.7365811870841826,0.19268201803413076,67095
dft_peak,DFT->Pred,full,10.0,0.93,0.22599967621822892,0.1868790577952692,0.7740003237817711,12354
dft_peak,Pred->DFT,full,10.0,0.93,0.30818847709631575,0.2908622780210182,0.6918115229036843,9147
dft_raw_line,DFT->Pred,fingerprint,10.0,0.93,0.6962806351397998,0.5574366970337113,0.30371936486020024,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,0.93,0.7970309405226621,0.7312613131467807,0.2029690594773379,52003
dft_peak,DFT->Pred,fingerprint,10.0,0.93,0.2858898218308417,0.23859729368039975,0.7141101781691583,9766
dft_peak,Pred->DFT,fingerprint,10.0,0.93,0.3085595446584939,0.2917387372598504,0.6914404553415061,9136
dft_raw_line,DFT->Pred,full,10.0,0.9400000000000001,0.6275510979408859,0.3371683144786086,0.3724489020591141,65805
dft_raw_line,Pred->DFT,full,10.0,0.9400000000000001,0.8107906810462968,0.7469218322884784,0.1892093189537032,67132
dft_peak,DFT->Pred,full,10.0,0.9400000000000001,0.2355512384652744,0.2034200231832437,0.7644487615347256,12354
dft_peak,Pred->DFT,full,10.0,0.9400000000000001,0.31808349556565,0.3007923041434018,0.68191650443435,9246
dft_raw_line,DFT->Pred,fingerprint,10.0,0.9400000000000001,0.6993657231618916,0.5921323971505936,0.3006342768381084,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,0.9400000000000001,0.8028395085319014,0.7449568969346412,0.19716049146809855,52333
dft_peak,DFT->Pred,fingerprint,10.0,0.9400000000000001,0.2979725578537784,0.2601653533084831,0.7020274421462216,9766
dft_peak,Pred->DFT,fingerprint,10.0,0.9400000000000001,0.31866941163723045,0.30214731899617603,0.6813305883627696,9229
dft_raw_line,DFT->Pred,full,10.0,0.9500000000000001,0.6299217384697211,0.36707669490099715,0.3700782615302789,65805
dft_raw_line,Pred->DFT,full,10.0,0.9500000000000001,0.8105404198302814,0.746979816845931,0.18945958016971864,67170
dft_peak,DFT->Pred,full,10.0,0.9500000000000001,0.23781771086287842,0.2206019319487276,0.7621822891371216,12354
dft_peak,Pred->DFT,full,10.0,0.9500000000000001,0.313871723844023,0.29294704988048187,0.686128276155977,9386
dft_raw_line,DFT->Pred,fingerprint,10.0,0.9500000000000001,0.7036373835001726,0.6418178907646847,0.2963626164998274,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,0.9500000000000001,0.8028805958805199,0.7498870779552891,0.19711940411948015,52628
dft_peak,DFT->Pred,fingerprint,10.0,0.9500000000000001,0.30073725168953513,0.2798104715260457,0.6992627483104649,9766
dft_peak,Pred->DFT,fingerprint,10.0,0.9500000000000001,0.314535939335683,0.2945556569505154,0.685464060664317,9363
dft_raw_line,DFT->Pred,full,10.0,0.9600000000000001,0.6297697743332573,0.37304049264778816,0.3702302256667427,65805
dft_raw_line,Pred->DFT,full,10.0,0.9600000000000001,0.8010447050419668,0.7375852587585853,0.1989552949580332,67196
dft_peak,DFT->Pred,full,10.0,0.9600000000000001,0.24259349198640118,0.23998895898047026,0.7574065080135988,12354
dft_peak,Pred->DFT,full,10.0,0.9600000000000001,0.31635753955779106,0.2907627585802021,0.6836424604422089,9543
dft_raw_line,DFT->Pred,fingerprint,10.0,0.9600000000000001,0.7036373835001726,0.6515533140567498,0.2963626164998274,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,0.9600000000000001,0.7908888217065981,0.7462708095158198,0.20911117829340187,52924
dft_peak,DFT->Pred,fingerprint,10.0,0.9600000000000001,0.30688101576899446,0.3017466688587266,0.6931189842310055,9766
dft_peak,Pred->DFT,fingerprint,10.0,0.9600000000000001,0.3177894736842105,0.2934574727013253,0.6822105263157895,9500
dft_raw_line,DFT->Pred,full,10.0,0.9700000000000001,0.6223995137147633,0.35956636836105477,0.3776004862852367,65805
dft_raw_line,Pred->DFT,full,10.0,0.9700000000000001,0.78433414151631,0.7058183017157076,0.21566585848369002,67229
dft_peak,DFT->Pred,full,10.0,0.9700000000000001,0.2439695645135179,0.22885401694171112,0.7560304354864821,12354
dft_peak,Pred->DFT,full,10.0,0.9700000000000001,0.3134513824168997,0.29172198249435877,0.6865486175831004,9657
dft_raw_line,DFT->Pred,fingerprint,10.0,0.9700000000000001,0.6938211943389714,0.62750553974714,0.3061788056610286,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,0.9700000000000001,0.7709399458157736,0.7199106492453783,0.22906005418422637,53152
dft_peak,DFT->Pred,fingerprint,10.0,0.9700000000000001,0.3086217489248413,0.28943388828106614,0.6913782510751587,9766
dft_peak,Pred->DFT,fingerprint,10.0,0.9700000000000001,0.3156083828589302,0.29908805962360085,0.6843916171410698,9591
dft_raw_line,DFT->Pred,full,10.0,0.9800000000000001,0.6115644707848947,0.34031236628197054,0.38843552921510527,65805
dft_raw_line,Pred->DFT,full,10.0,0.9800000000000001,0.7670096348281195,0.6675586741145593,0.23299036517188054,67256
dft_peak,DFT->Pred,full,10.0,0.9800000000000001,0.23028978468512223,0.2037892628445922,0.7697102153148778,12354
dft_peak,Pred->DFT,full,10.0,0.9800000000000001,0.29413570770647834,0.27635661413807816,0.7058642922935217,9771
dft_raw_line,DFT->Pred,fingerprint,10.0,0.9800000000000001,0.6793665861235761,0.5944273692673411,0.32063341387642386,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,0.9800000000000001,0.750515077729912,0.6816261991874031,0.249484922270088,53390
dft_peak,DFT->Pred,fingerprint,10.0,0.9800000000000001,0.2913168134343641,0.25908346290745377,0.7086831865656359,9766
dft_peak,Pred->DFT,fingerprint,10.0,0.9800000000000001,0.2968701580415246,0.2841153799062877,0.7031298419584754,9681
dft_raw_line,DFT->Pred,full,10.0,0.9900000000000001,0.6079021350961173,0.32935811681561344,0.39209786490388265,65805
dft_raw_line,Pred->DFT,full,10.0,0.9900000000000001,0.7598941846121836,0.6512381873424401,0.2401058153878164,67287
dft_peak,DFT->Pred,full,10.0,0.9900000000000001,0.23045167557066537,0.1893081137227736,0.7695483244293346,12354
dft_peak,Pred->DFT,full,10.0,0.9900000000000001,0.2906069510588712,0.26948155200002355,0.7093930489411289,9869
dft_raw_line,DFT->Pred,fingerprint,10.0,0.9900000000000001,0.6746634449430445,0.5780461573545758,0.32533655505695547,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,0.9900000000000001,0.7424677991413104,0.671397431623162,0.25753220085868955,53570
dft_peak,DFT->Pred,fingerprint,10.0,0.9900000000000001,0.2915216055703461,0.2422332492091054,0.7084783944296539,9766
dft_peak,Pred->DFT,fingerprint,10.0,0.9900000000000001,0.29421419778416086,0.278399640705737,0.7057858022158392,9748
dft_raw_line,DFT->Pred,full,10.0,1.0,0.6055618873945748,0.33241554623045744,0.39443811260542516,65805
dft_raw_line,Pred->DFT,full,10.0,1.0,0.7567591657258305,0.6432518593972764,0.24324083427416954,67316
dft_peak,DFT->Pred,full,10.0,1.0,0.23619880200744697,0.20319896456845982,0.763801197992553,12354
dft_peak,Pred->DFT,full,10.0,1.0,0.29284858170195766,0.27339539796544865,0.7071514182980423,10012
dft_raw_line,DFT->Pred,fingerprint,10.0,1.0,0.6723118743527787,0.5813828431151855,0.3276881256472213,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,1.0,0.7404291749641734,0.6685026240338728,0.2595708250358266,53731
dft_peak,DFT->Pred,fingerprint,10.0,1.0,0.29879172639770635,0.2574809592492131,0.7012082736022937,9766
dft_peak,Pred->DFT,fingerprint,10.0,1.0,0.2978161503301168,0.2847706115706896,0.7021838496698831,9845
dft_raw_line,DFT->Pred,full,10.0,1.0100000000000002,0.6064128865587721,0.3355179517401565,0.3935871134412279,65805
dft_raw_line,Pred->DFT,full,10.0,1.0100000000000002,0.7548256815347152,0.6440984405950929,0.2451743184652848,67348
dft_peak,DFT->Pred,full,10.0,1.0100000000000002,0.2463169823538935,0.2146352328102708,0.7536830176461065,12354
dft_peak,Pred->DFT,full,10.0,1.0100000000000002,0.3025210084033613,0.28220120859018816,0.6974789915966386,10115
dft_raw_line,DFT->Pred,fingerprint,10.0,1.0100000000000002,0.6745340006903694,0.5863796705616794,0.3254659993096306,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,1.0100000000000002,0.739228098836022,0.6731431051133978,0.26077190116397797,53867
dft_peak,DFT->Pred,fingerprint,10.0,1.0100000000000002,0.31148883882858897,0.27123771227315857,0.688511161171411,9766
dft_peak,Pred->DFT,fingerprint,10.0,1.0100000000000002,0.3087404117884538,0.2923643814525908,0.6912595882115462,9908
dft_raw_line,DFT->Pred,full,10.0,1.02,0.6054403160854038,0.32892924556387887,0.39455968391459617,65805
dft_raw_line,Pred->DFT,full,10.0,1.02,0.7492466414310102,0.6381363600264914,0.25075335856898984,67365
dft_peak,DFT->Pred,full,10.0,1.02,0.24591225514003562,0.2132106921548775,0.7540877448599643,12354
dft_peak,Pred->DFT,full,10.0,1.02,0.2998434748581491,0.28215711013992045,0.7001565251418509,10222
dft_raw_line,DFT->Pred,fingerprint,10.0,1.02,0.6733905764584053,0.5764931094603166,0.3266094235415947,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,1.02,0.733869175494481,0.6700773929393837,0.26613082450551895,53996
dft_peak,DFT->Pred,fingerprint,10.0,1.02,0.31097685848863404,0.27129355152985446,0.6890231415113659,9766
dft_peak,Pred->DFT,fingerprint,10.0,1.02,0.3070447940675418,0.29269370906226183,0.6929552059324582,9979
dft_raw_line,DFT->Pred,full,10.0,1.0300000000000002,0.6044069599574501,0.3196885096888231,0.3955930400425499,65805
dft_raw_line,Pred->DFT,full,10.0,1.0300000000000002,0.7435380004154672,0.6321540543810016,0.25646199958453275,67394
dft_peak,DFT->Pred,full,10.0,1.0300000000000002,0.23951756516108144,0.20745217595261367,0.7604824348389185,12354
dft_peak,Pred->DFT,full,10.0,1.0300000000000002,0.28891897118545734,0.2714801546015134,0.7110810288145426,10342
dft_raw_line,DFT->Pred,fingerprint,10.0,1.0300000000000002,0.6722255781843286,0.56097238593285,0.3277744218156714,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,1.0300000000000002,0.7289263531499557,0.6692306233761064,0.2710736468500443,54096
dft_peak,DFT->Pred,fingerprint,10.0,1.0300000000000002,0.3028875691173459,0.2633743412399707,0.6971124308826542,9766
dft_peak,Pred->DFT,fingerprint,10.0,1.0300000000000002,0.29706613625062156,0.28375500880630133,0.7029338637493785,10055
dft_raw_line,DFT->Pred,full,10.0,1.04,0.6026897652154092,0.30534343376920325,0.3973102347845908,65805
dft_raw_line,Pred->DFT,full,10.0,1.04,0.7341115049760467,0.6193224958192698,0.2658884950239533,67423
dft_peak,DFT->Pred,full,10.0,1.04,0.2404889104743403,0.2051919065510175,0.7595110895256597,12354
dft_peak,Pred->DFT,full,10.0,1.04,0.2868194842406877,0.2663105109688436,0.7131805157593123,10470
dft_raw_line,DFT->Pred,fingerprint,10.0,1.04,0.6710174318260269,0.5398433541266418,0.3289825681739731,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,1.04,0.7189731854503848,0.65706975782749,0.2810268145496152,54187
dft_peak,DFT->Pred,fingerprint,10.0,1.04,0.30421871800122874,0.2618447307385545,0.6957812819987712,9766
dft_peak,Pred->DFT,fingerprint,10.0,1.04,0.29580378250591016,0.2779281966450892,0.7041962174940899,10152
dft_raw_line,DFT->Pred,full,10.0,1.0500000000000003,0.5999848035863536,0.28685200552682016,0.40001519641364636,65805
dft_raw_line,Pred->DFT,full,10.0,1.0500000000000003,0.725396284049289,0.6056015076475821,0.274603715950711,67439
dft_peak,DFT->Pred,full,10.0,1.0500000000000003,0.23725109276347742,0.1945625305032752,0.7627489072365226,12354
dft_peak,Pred->DFT,full,10.0,1.0500000000000003,0.27861730260672457,0.2572990451789922,0.7213826973932754,10588
dft_raw_line,DFT->Pred,fingerprint,10.0,1.0500000000000003,0.6674145667932344,0.5090474941110197,0.3325854332067656,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,1.0500000000000003,0.711055786076533,0.6476145997068335,0.28894421392346703,54225
dft_peak,DFT->Pred,fingerprint,10.0,1.0500000000000003,0.3000204792135982,0.2486282865722097,0.6999795207864018,9766
dft_peak,Pred->DFT,fingerprint,10.0,1.0500000000000003,0.2883261634728197,0.2708219652162761,0.7116738365271803,10228
dft_raw_line,DFT->Pred,full,10.0,1.06,0.5996048932451942,0.27341539952207844,0.40039510675480583,65805
dft_raw_line,Pred->DFT,full,10.0,1.06,0.7174157969639469,0.5913933756137736,0.28258420303605314,67456
dft_peak,DFT->Pred,full,10.0,1.06,0.2338513841670714,0.178726754420105,0.7661486158329286,12354
dft_peak,Pred->DFT,full,10.0,1.06,0.27134459270318184,0.2512860312116318,0.7286554072968181,10717
dft_raw_line,DFT->Pred,fingerprint,10.0,1.06,0.6683422506040732,0.49000965201696334,0.33165774939592685,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,1.06,0.7087979482604817,0.6438768085416822,0.2912020517395183,53808
dft_peak,DFT->Pred,fingerprint,10.0,1.06,0.29582224042596766,0.23317593978903906,0.7041777595740324,9766
dft_peak,Pred->DFT,fingerprint,10.0,1.06,0.2835413416536661,0.2673118574375368,0.7164586583463339,10256
dft_raw_line,DFT->Pred,full,10.0,1.0700000000000003,0.6047564774713168,0.2615801007441799,0.3952435225286832,65805
dft_raw_line,Pred->DFT,full,10.0,1.0700000000000003,0.7088952781812253,0.5795604470986709,0.29110472181877467,67474
dft_peak,DFT->Pred,full,10.0,1.0700000000000003,0.23733203820624899,0.1799297467068455,0.7626679617937511,12354
dft_peak,Pred->DFT,full,10.0,1.0700000000000003,0.27334936193822823,0.2537881476460409,0.7266506380617718,10814
dft_raw_line,DFT->Pred,fingerprint,10.0,1.0700000000000003,0.6757205730065585,0.47104433347098634,0.3242794269934415,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,1.0700000000000003,0.714859437751004,0.6591096529191411,0.285140562248996,52788
dft_peak,DFT->Pred,fingerprint,10.0,1.0700000000000003,0.30022527134958016,0.23368821987149221,0.6997747286504199,9766
dft_peak,Pred->DFT,fingerprint,10.0,1.0700000000000003,0.2916337805840568,0.27798562618566336,0.7083662194159432,10136
dft_raw_line,DFT->Pred,full,10.0,1.08,0.6094977585289871,0.26211760773329484,0.39050224147101287,65805
dft_raw_line,Pred->DFT,full,10.0,1.08,0.7037931545414136,0.5710330609503692,0.29620684545858644,67490
dft_peak,DFT->Pred,full,10.0,1.08,0.238465274405051,0.17666882361570335,0.761534725594949,12354
dft_peak,Pred->DFT,full,10.0,1.08,0.27246933919092076,0.25426228679252066,0.7275306608090792,10926
dft_raw_line,DFT->Pred,fingerprint,10.0,1.08,0.6829478771142561,0.47084012896013844,0.3170521228857439,46352
dft_raw_line,Pred->DFT,fingerprint,10.0,1.08,0.7223377223377223,0.6727080165189548,0.2776622776622777,51948
dft_peak,DFT->Pred,fingerprint,10.0,1.08,0.301556420233463,0.22908733553411514,0.6984435797665369,9766
dft_peak,Pred->DFT,fingerprint,10.0,1.08,0.2954432641715477,0.2830802833097571,0.7045567358284524,10073
