,0
0,Fc1ccc(cc1)S(=O)(=O)Nc1cc(cnc1Cl)c1ccc2c(c1)sc(n2)NC1CC1
1,N#Cc1ccc(cc1)c1csc(n1)c1ccc(cc1)c1csc(n1)c1ccccc1
2,Fc1cccc(c1)/C=c\1/sc2=NC3=C([C@@H](n2c1=O)c1ccccc1)C(=O)CCC3
3,CNC(=O)c1cnc(cc1Nc1ccccc1S(=O)(=O)C)NC(=O)C(C)C
4,CN(Cc1nc2scc(c2c(=O)[nH]1)c1ccc(cc1)F)CC(=O)Nc1cccc(c1)F
5,CCNc1ccnc(n1)NCC1(CCOCC1)N(C)C
6,ClCCNC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C
7,COc1cc(OCc2ccc(cc2)C(F)(F)F)c2c(c1)oc(c2)c1cn2c(n1)sc(n2)OC
8,NC(=N)N/N=C(/c1sc(nc1C)c1ccc(cc1)C#Cc1ccccc1O)\C
9,NC(=O)c1nn(c2-c3c(CCc12)n[nH]c3)c1ccc(cc1)N1CCOCC1
10,OC(=O)CN1C(=S)S/C(=C\c2ccc(cc2)/C=N/n2c(n[nH]c2=S)c2ccc(cc2)Br)/C1=O
11,Cc1cnc(o1)CN([C@H]1CCN(C1)Cc1sc(nc1C)C)C
12,Cc1nc(c(s1)C(=O)N1CCC(CC1)(O)Cn1ccc2c1cncc2)C
13,OC(=O)C1(CCC1)CNC(=O)c1ncc2c(c1O)ccc(c2)Oc1ccccc1
14,COc1cc(ccc1F)NC(=O)c1c(O)n(c2ccccc2)c(=S)n(c1=O)c1ccccc1
15,Cc1ncc(c(n1)C)C(=O)N1C[C@H]2CC[C@@H]1CN(C2)S(=O)(=O)N(C)C
16,CCN1C(=O)CC[C@@]21CC[C@@H](CC2)NC(=O)NCc1cccnc1
17,S=C(N1N=C(C[C@H]1c1ccc2c(c1)OCCO2)c1ccccc1Br)Nc1ccccc1
18,O=C(N1NCC[C@@H]1C(=O)NCc1cccc(c1F)Cl)Nc1cn(c2c1cccc2)C(=O)N
19,O=C(Nc1c(C)cccc1Cl)Nc1cc2ccccc2cc1C(=O)N[C@H](c1cccs1)C(=O)O
20,O=C1NC(=O)/C(=C/c2cnn3c2[N]C(=N[C]3NC2CC2)N(Cc2ccccc2Br)C)/N1
21,O=CO[C@@H](C(=O)N[C@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnnn1C)c1ccccc1
22,CN(C[C@@]1(O)CCCN(CC1)Cc1cnc(nc1)c1ccco1)C
23,O=C(N1CCN(CC1)S(=O)(=O)c1cccc2c1ccnc2)Nc1ccc(c(c1)N(=O)=O)Cl
24,C1CC[N@@]2[C@H](C1)[C@H](CCC2)n1c(nc2c1cccc2)c1ccccc1
25,OC[C@H]1O[C@@H](Oc2cccc3c2C(=O)O[C@H](C3)c2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O
26,CCOc1cc(/C=C/2\C(=NN(C2=O)c2ccccc2)C)cc(c1OCC(=O)OC)Cl
27,COc1ccc(c(c1)OC)Nc1nccc(n1)c1sc(nc1C)OC
28,Fc1ccc(cc1)S(=O)(=O)c1cnc2c(c1c1cccc(c1)Cl)cccc2F
29,CCOc1ccc(cc1NC(=O)c1cccc(c1)C(=O)O)C(=O)NC
30,N#CN1CCC[C@@H](C1)NC(=O)c1cccc(c1)c1ccccc1
31,CCOc1ccccc1[N][N]c1c(C)[nH]n(c1=O)c1ccccc1
32,COc1ccc2c(c1)c(Nc1ccc(cc1)C#N)c1c(n2)cc(cc1)Cl
33,Cc1cc(cc(c1)C(=O)Nc1ccncc1)C(=O)Nc1ccncc1
34,COC(=O)c1sc2c(c1C)c(ncn2)Nc1ccc(cc1OC(C)C)F
35,CNc1nnc2c(c1)CN(CC2)C(=O)c1ccc2c(c1)CCC2
36,O=C(NC1CC1)/C=C\Sc1ccc(cc1)C(C)(C)C
37,O=C(N[C@@H]1CC(=O)N(C1)c1ccc(cc1)Cl)OCc1cc(F)cc(c1)F
38,Cn1nc(c(c1)C(=O)NCC(c1ccccc1)c1ccccc1)O
39,Sc1nnc(o1)c1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C
40,CN1CCN(CC1)C(=O)c1ccc(cc1)c1nn(/c(=N/C2CCCCC2)/s1)C
41,N[C]1N=C[N]c2c1c(C#CC1CC1)nn2Cc1cc2cccc(c2c(=O)n1c1ccccc1C)C
42,COc1ccc(cc1c1nocn1)C[C@@H]1COCCN1C(=O)c1ccc(cc1n1nccn1)F
43,CCOC(=O)c1c(Cl)cc(cc1c1ccc(c(c1)F)[C@H](NC(=O)C1(CC1)NC(=O)C(F)(F)F)C)Cl
44,OC[C@H]1CCN(C1)c1ncc(cc1c1cncc(c1)C#N)C(=O)Nc1ccc(cc1)SC(F)(F)F
45,ONC(=O)/C=C/c1ccc2c(c1)C(=O)CC1(C2)CCN(CC1)Cc1ccccc1
46,C[C@@H]1NCc2c(C1)c(ncn2)Oc1ccc2c(c1)n(cc2)C(=O)Nc1noc(c1)C1(CC1)C(F)(F)F
47,COc1ncccc1[C@H]1[C@@H](C(=O)C(C)C)C(=O)C(=O)N1c1ccc(cc1)c1ccc(s1)C
48,Brc1cc(C(=O)NC2CCOCC2)c(nc1OCc1c(C)onc1c1ccccc1)C
49,CCS(=O)(=O)c1ccc(cc1)CC(=O)Nc1ccc2c(c1)ccn2CCc1ccc(cc1Cl)Cl
50,CO/N=C(/c1csc(n1)N)\C(=O)N[C@@H]1C(=O)N2[C@@H]1CC[C]1[C]2C(=O)O[C@@H]2[N@]1[CH]c1c([CH]2)n(cn1)C
51,CN[C@@H]1CCN(C1)c1ccnc(c1)c1cscc1
52,O=C1NC(=O)/C(=C(\O)/C)/C(=O)N1C1CCCCCC1
53,COc1ccc(cc1)Cn1c2[N]C=N[C](c2c(c1N)C#N)N
54,FC(Oc1ccc(cc1)/N=C/1\SC[C@@H]2N1CCCC2)F
55,Nc1ccc2c(c1C)c1ccccc1n2C(C)C
56,CN(Cc1oc2-c3ccccc3C(=O)C(=O)c2c1C)C
57,CCn1c(n[nH]c1=S)c1ccc(cc1)NC(=S)NCC=C
58,COC1=C2OC(=CC(=C2[C](C=C1O)O)[O])c1ccc(cc1)N(=O)=O
59,COc1ccc(cc1)C(=O)N/N=C(/CN1[CH]N=C([N]1)N(=O)=O)\C
60,COc1cccc(c1)NC(=O)N1[C@H](CO)[C@H]([C@H]1CNCC(C)C)c1ccccc1
61,Clc1ncc(c(n1)c1ccc(cc1)N(C(=O)c1cc(Cl)c(cc1O)O)Cc1cccc(c1)Cn1ccnc1)C
62,O=C1OC[C@H](N1)C(=O)Nc1cc2c(ncnc2cc1OC[C@H]1COCCN1C)Nc1ccc(c(c1)Cl)F
63,CC(=O)NC[C@H]1CN(C(=O)O1)c1ccc(c(c1)F)c1ccc(cc1)/C=C/C(=O)N1CCSCC1
64,N#Cc1ccc2c(c1)[C](NCCc1ccc3c(c1)ccc(c3)C(=O)N1CCN(CC1)C)N=C[N]2
65,CCCCN1C=C(C(=O)NCc2ccccc2)C(=C2[C]1C=C(C=C2)N1CCOCC1)[O]
66,COc1nccc(c1)c1ccc(c(c1)F)[C@@H]1CCc2c(O1)cc(cc2)[C@@H]([C@@H](C(=O)O)C)C1CC1
67,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)c1cc(Cc2ccc(cc2)CC)c(c2c1CCCC2)Br
68,N#Cc1ccc(cc1Cl)NC(=O)COC(=O)Cc1cccs1
69,OC(=O)CCCNC(=O)c1cccc(c1)N
70,CN([N][N]c1n[nH]cc1C(=O)N)CCCC
71,CC[C@H](c1noc(c1)C(=O)Nc1ncccc1O)C
72,N[C]1N=C(N)[C]2C(=N1)OC=C2CNc1ccc(c(c1)Cl)Cl
73,OC[C@H](NC(=O)[C@@H](CC(=O)O)N)COC(=O)C
74,Cn1c(nc2c1cccc2)c1cc(C)c2c(c1)n(Cc1cccc3c1ccn3c1ccccc1C(=O)O)c(n2)C
75,O=C(N1CCc2c(C1)c(n[nH]2)c1ccc2n(c1)ccn2)N[C@@H]1CCCN(C1)Cc1c(C)cccc1C
76,NCC(=O)N1CCC(CC1)n1c(C)nc2c1c1cc(c(cc1nc2)F)c1ccc(cc1Cl)O[C]1=NC=C[C](N=1)C
77,N1CCC(CC1)CNCc1oc(c(c1)c1ccc(cc1)c1ccoc1)c1ccc(cc1)c1ccoc1
78,CCc1ccc(cc1NC(=O)c1ccc(cc1)F)CN1CCC(CC1)C(=O)NC(C)(C)C
79,Oc1ccc(c(c1)O)C(=O)N1[C@@H](C)CCc2c1ccc(c2)c1ccc(nn1)OCCN1CCCC1
80,COc1cc(/C=C/C(=O)/C=C/c2cccs2)ccc1OCc1nnn(c1)CCCCOc1cc(=O)oc2c1cccc2
81,OCC(=O)NC[C@@H](COc1c(C)cc(cc1CC)c1noc(n1)c1cnc(c(c1)CC)N(CC)CC)O
82,CCN(CCC[C@@H](NC1=N[C](c2c([N]1)cccc2)Nc1cc(OC)c(c(c1)OC)OC)C)CC
83,COc1c(Cl)ccc2c1n(CCN1CCOCC1)c(c2C(=O)N[C@@H]1[C@@]2(C)CC[C@@H](C1(C)C)C2)C
84,O=C1CS[C](N1)[N][N][C]1CCC[C@H]1C
85,OCc1scc(n1)c1scc(n1)c1scc(n1)CO
86,CC[C@H](C(=O)N)N1C[C@@H](CC1=O)O
87,C[C@H]1[C@@H](OCCCOc2ccc3c(c2)oc(=O)c(c3C)C)O[C@H]2[C@@]34[C@H]1CC[C@H]([C@@H]4CC[C@](O2)(OO3)C)C
88,CC(=O)OCC(=O)[C@@]12ON(C[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@]2([C@H]1CCC1=CC(=O)C=C[C@@]21C)F)Cc1ccccc1
89,CCc1cc2C(=O)c3c4ccc(cc4[nH]c3C(c2cc1N1CCC(CC1)NC1CCCCC1)(C)C)C#N
90,COc1cc2CCN(Cc2cc1OC)Cc1ccc(cc1)c1ccc(cc1)OCCCOc1nonc1OCc1ccccc1
91,NCCCC[C@@H](C(=O)N[C@H](C(=O)N)Cc1ccc(cc1)O)NC(=O)[C@@H](NC(=O)c1ccccc1)CCCNC(=N)N
92,COc1ccc2c(c1)c(CC(=O)N[C@H](C(=O)NS(=O)(=O)c1ccc(cc1)OC)Cc1ccccc1)c(n2c1ccc(cc1)c1ccccc1)C
93,Oc1ccc(c(c1)Cl)c1ccccc1
94,COc1ccccc1OCCN1CCN(CC1)c1cnn(c(=O)c1Cl)CCCCCCCCN1CCN(CC1)c1ccccc1Cl
95,Cn1ccc(n1)C(=O)C
